Indikator,Ausprägung,Jahr,Räumliche Gliederung,Indikatorwert,Basiswert 1,Basiswert 2,Name Basiswert 1,Name Basiswert 2
Baufertigstellungen,Wohnfläche,2017,Stadt München,77.7,599172,7708,Summe Wohnflächen von allen fertiggestellten Wohnungen,Alle fertiggestellten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baufertigstellungen,Wohnfläche,2017,01 Altstadt - Lehel,152.4,3506,23,Summe Wohnflächen von allen fertiggestellten Wohnungen,Alle fertiggestellten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baufertigstellungen,Wohnfläche,2017,02 Ludwigsvorstadt - Isarvorstadt,77,2232,29,Summe Wohnflächen von allen fertiggestellten Wohnungen,Alle fertiggestellten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baufertigstellungen,Wohnfläche,2017,03 Maxvorstadt,94.3,8962,95,Summe Wohnflächen von allen fertiggestellten Wohnungen,Alle fertiggestellten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baufertigstellungen,Wohnfläche,2017,04 Schwabing - West,98.5,7191,73,Summe Wohnflächen von allen fertiggestellten Wohnungen,Alle fertiggestellten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baufertigstellungen,Wohnfläche,2017,05 Au - Haidhausen,73,19338,265,Summe Wohnflächen von allen fertiggestellten Wohnungen,Alle fertiggestellten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baufertigstellungen,Wohnfläche,2017,06 Sendling,28,8975,320,Summe Wohnflächen von allen fertiggestellten Wohnungen,Alle fertiggestellten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baufertigstellungen,Wohnfläche,2017,07 Sendling - Westpark,70.5,25186,357,Summe Wohnflächen von allen fertiggestellten Wohnungen,Alle fertiggestellten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baufertigstellungen,Wohnfläche,2017,08 Schwanthalerhöhe,80.7,2099,26,Summe Wohnflächen von allen fertiggestellten Wohnungen,Alle fertiggestellten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baufertigstellungen,Wohnfläche,2017,09 Neuhausen - Nymphenburg,85.3,17827,209,Summe Wohnflächen von allen fertiggestellten Wohnungen,Alle fertiggestellten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baufertigstellungen,Wohnfläche,2017,10 Moosach,57.6,17344,301,Summe Wohnflächen von allen fertiggestellten Wohnungen,Alle fertiggestellten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
