Indikator,Ausprägung,Jahr,Räumliche Gliederung,Indikatorwert,Basiswert 1,Basiswert 2,Name Basiswert 1,Name Basiswert 2
Baugenehmigungen,Wohnfläche,2017,Stadt München,64.8,772302,11910,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,01 Altstadt - Lehel,41.8,1714,41,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,02 Ludwigsvorstadt - Isarvorstadt,57.3,8487,148,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,03 Maxvorstadt,57.6,10489,182,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,04 Schwabing - West,55.7,12320,221,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,05 Au - Haidhausen,76.9,36280,472,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,06 Sendling,29.1,9204,316,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,07 Sendling - Westpark,68.5,8219,120,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,08 Schwanthalerhöhe,64,4031,63,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,09 Neuhausen - Nymphenburg,67.2,27081,403,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,10 Moosach,54.4,28665,527,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,11 Milbertshofen - Am Hart,39.7,27652,696,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,12 Schwabing - Freimann,77.7,35802,461,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,13 Bogenhausen,75.7,87792,1159,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,14 Berg am Laim,69.7,9891,142,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,15 Trudering - Riem,80.5,31731,394,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,16 Ramersdorf - Perlach,58.8,73878,1257,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,17 Obergiesing - Fasangarten,44.1,16287,369,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,18 Untergiesing - Harlaching,88.2,14997,170,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,66.3,87009,1312,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,20 Hadern,75,35546,474,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,21 Pasing - Obermenzing,65.4,82383,1260,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,22 Aubing - Lochhausen - Langwied,69.9,59485,851,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,23 Allach - Untermenzing,70.6,38707,548,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,24 Feldmoching - Hasenbergl,73.7,21214,288,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2017,25 Laim,95.5,3438,36,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,Stadt München,73.8,638103,8650,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,01 Altstadt - Lehel,142.2,3981,28,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,02 Ludwigsvorstadt - Isarvorstadt,80.8,32646,404,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,03 Maxvorstadt,77.4,10607,137,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,04 Schwabing - West,67.3,3769,56,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,05 Au - Haidhausen,99.9,5094,51,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,06 Sendling,71.2,14176,199,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,07 Sendling - Westpark,68.8,22558,328,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,08 Schwanthalerhöhe,65.1,521,8,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,09 Neuhausen - Nymphenburg,75.3,55901,742,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,10 Moosach,55.6,12009,216,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,11 Milbertshofen - Am Hart,84.9,17318,204,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2016,12 Schwabing - Freimann,69.4,62517,901,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
