Neighborhood,Venue,Venue Latitude,Venue Longitude,Venue Category
Maxvorstadt,Hofgarten,48.143052722308155,11.579954624176025,Garden
Maxvorstadt,Die Goldene Bar,48.144107,11.586004,Cocktail Bar
Maxvorstadt,Halali,48.145717927115555,11.58201315227359,Austrian Restaurant
Maxvorstadt,Schumann's Bar,48.144025,11.578655,Cocktail Bar
Maxvorstadt,Haus der Kunst,48.14394723081501,11.585845163911499,Art Museum
Maxvorstadt,Eisbachwelle,48.143342429930065,11.587774530343157,Surf Spot
Maxvorstadt,Odeonsplatz,48.14243330316378,11.577561989688498,Plaza
Maxvorstadt,Ristorante Alta Marea,48.14579272979881,11.582581128011466,Italian Restaurant
Maxvorstadt,SEITZ Trattoria,48.14141910465707,11.584901962983421,Trattoria/Osteria
Maxvorstadt,Wasserfall im Englischen Garten,48.14501348523675,11.587464809417725,Waterfall
Maxvorstadt,Lost Weekend,48.149109,11.579623,Café
Maxvorstadt,Japanisches Teehaus KanShoAn,48.14528274308936,11.586133897625015,Tea Room
Maxvorstadt,Herkulessaal,48.14171412872986,11.579505863989034,Concert Hall
Maxvorstadt,Rocca Riviera,48.14354415044174,11.57605100921803,French Restaurant
Maxvorstadt,Lu Bu soul food,48.141602,11.585097,Asian Restaurant
Maxvorstadt,LeDu Happy Dumplings,48.147526,11.577578,Dumpling Restaurant
Maxvorstadt,Residenz    München,48.141785,11.579413,Hotel
Maxvorstadt,Restaurant Tempel,48.142037,11.586505,Vietnamese Restaurant
Maxvorstadt,Schumann's Les Fleurs Du Mal,48.144029,11.578674,Cocktail Bar
Maxvorstadt,Leica Store,48.142998209790775,11.576273159069293,Camera Store
Maxvorstadt,Kopper,48.146981,11.578626,Cocktail Bar
Maxvorstadt,Lumas,48.142963,11.576732,Design Studio
Maxvorstadt,P1,48.14430554313331,11.585050821304321,Nightclub
Maxvorstadt,Sehnsucht Bar,48.14735183733036,11.576541873945285,Pub
Maxvorstadt,Kistenpfennig,48.147598550184796,11.576758728776214,Bakery
Maxvorstadt,Perazzo Ristorante,48.14545416452901,11.577988576214118,Italian Restaurant
Maxvorstadt,Hackett,48.142718,11.577437,Men's Store
Maxvorstadt,Cupido,48.142915967164434,11.586819522854002,Italian Restaurant
Maxvorstadt,Café an der Uni - CADU,48.14959412027755,11.580982107974332,Bar
Maxvorstadt,Die Familienbäckerei,48.14747,11.576822,Café
Maxvorstadt,Feldherrnhalle,48.1419951464891,11.57748609872521,Monument / Landmark
Maxvorstadt,Starbucks,48.14313399733826,11.577966901621657,Coffee Shop
Maxvorstadt,kokumi,48.14125409820605,11.583903717914506,Japanese Restaurant
Maxvorstadt,Sesam Öffne Dich,48.147895,11.576991,Middle Eastern Restaurant
Maxvorstadt,Briciole,48.14568716761097,11.576210226664804,Italian Restaurant
Maxvorstadt,Filmcasino,48.143769035227045,11.578376602712625,Restaurant
Maxvorstadt,Monsoon,48.14224736154071,11.586160552414922,Asian Restaurant
Maxvorstadt,Pfälzer Weinstube in der Residenz,48.14162088963687,11.578409671783447,Palatine Restaurant
Maxvorstadt,Sarovar,48.14735613925922,11.577449568221041,Indian Restaurant
Maxvorstadt,HOME Munich,48.14735981295994,11.576502128631816,Bar
Maxvorstadt,Starbucks,48.14325399033383,11.577974360445959,Coffee Shop
Maxvorstadt,Cafe & Bar Ludwig,48.145243232407246,11.57871070695541,Breakfast Spot
Maxvorstadt,Refettorio,48.14077319207944,11.581621540325948,Italian Restaurant
Maxvorstadt,Nam Nam,48.14764166361077,11.57658481182071,Thai Restaurant
Maxvorstadt,Carlton Astoria,48.14719720926304,11.577253969241578,Hotel
Maxvorstadt,Rila,48.149048,11.583676,Eastern European Restaurant
Maxvorstadt,Fresh In,48.14727103454178,11.577786316018072,Mediterranean Restaurant
Maxvorstadt,StaBi Café,48.14723919267115,11.581420137267038,Café
Maxvorstadt,Backspielhaus,48.145312399674566,11.578733352094114,Breakfast Spot
Maxvorstadt,TAMBOSI - Am Odeonsplatz,48.142705,11.577925,Italian Restaurant
Englschalking,House Of Flames Harley Davidson,48.13779860398444,11.629362058161352,Motorcycle Shop
Englschalking,CrossFit eo,48.140814371456734,11.62784409553123,Gym
Englschalking,Wirtshaus Zamdorfer Biergarten,48.13989873955287,11.628628711077795,German Restaurant
Englschalking,Backspielhaus,48.14105113141711,11.627252099652333,Bakery
Englschalking,Chef's Platz In Der Sonne,48.1369998363097,11.635103366946245,Cafeteria
Englschalking,Süddeutsche Zeitung,48.13716456,11.63553947,Business Service
Englschalking,Backspielhaus,48.140976551904735,11.627225875854492,Bakery
Englschalking,Friedrich-Eckart-Straße,48.14122610141783,11.635314856087358,Bus Stop
Großhadern,H Kornwegerstraße,48.11215248506821,11.495454000284274,Bus Stop
Großhadern,Lal Qila,48.11306180777003,11.489800214767456,Indian Restaurant
Angerviertel,Marienplatz,48.137151774486604,11.575292760064784,Plaza
Angerviertel,Kustermann,48.13624185951994,11.57489743951907,Department Store
Angerviertel,St. Peter,48.13653033744336,11.575615102948722,Church
Angerviertel,Chocolaterie Beluga,48.135749958121224,11.575775742530823,Café
Angerviertel,Rindermarkt,48.13609857914366,11.573914758665321,Plaza
Angerviertel,Grano,48.13508968068958,11.573764998764588,Pizza Place
Angerviertel,Asamkirche (St. Johann Nepomuk),48.135053450258326,11.569746277160712,Church
Angerviertel,La Piazza,48.134408,11.574506,Italian Restaurant
Angerviertel,Viktualienmarkt,48.13529613214196,11.576367768074439,Farmers Market
Angerviertel,Hirmer,48.138023229321696,11.572046157913082,Men's Store
Angerviertel,Unter Deck,48.13499210443137,11.571283914108792,Bar
Angerviertel,Schmalznudel - Café Frischhut,48.13485770889897,11.57478317963125,Café
Angerviertel,Galeria Gourmet,48.13743238817685,11.573216827217955,Gourmet Shop
Angerviertel,KONEN,48.135988897495956,11.573053777439032,Clothing Store
Angerviertel,Fischbrunnen,48.13721054807242,11.57604728180553,Fountain
Angerviertel,Apple Rosenstraße,48.136843,11.574534,Electronics Store
Angerviertel,Biergarten am Viktualienmarkt,48.1351936744121,11.576364766282014,Beer Garden
Angerviertel,Louis Hotel,48.135791572859645,11.575963345877847,Hotel
Angerviertel,"OhJulia,",48.136359090681054,11.571843027974488,Italian Restaurant
Angerviertel,Leger am Dom,48.138262321999065,11.572932468978577,Restaurant
Angerviertel,Eataly,48.13446101526066,11.574517537869522,Food Court
Angerviertel,Kaffeerösterei Viktualienmarkt,48.13473150149384,11.576192649874514,Coffee Shop
Angerviertel,Hugendubel,48.137111650306366,11.575544782889482,Bookstore
Angerviertel,mymuesli Laden,48.13535742016771,11.576714414351619,Organic Grocery
Angerviertel,Filmmuseum,48.134681400846475,11.572611938773427,Museum
Angerviertel,The High,48.13310102633997,11.572938966191533,Cocktail Bar
Angerviertel,Tian,48.134471281616335,11.575988337894875,Vegetarian / Vegan Restaurant
Angerviertel,Caspar Plautz,48.134683,11.576058,Snack Place
Angerviertel,Augustiner Klosterwirt,48.138649448058345,11.572527009723416,German Restaurant
Angerviertel,BAR ALPINA im Schuster,48.136362,11.574146,Coffee Shop
Angerviertel,Wirtshaus zum Straubinger,48.13376,11.574418,Bavarian Restaurant
Angerviertel,Kleinschmecker,48.134659170093826,11.573565235533085,German Restaurant
Angerviertel,TeeGschwendner,48.135398,11.569455,Tea Room
Angerviertel,Cole & Porter,48.13612411597914,11.571639669242202,Cocktail Bar
Angerviertel,Sporthaus Schuster,48.136869,11.574596,Sporting Goods Shop
Angerviertel,Baricentro,48.13455682485334,11.573834223461475,Italian Restaurant
Angerviertel,Andechser am Dom,48.138302,11.573778,Bavarian Restaurant
Angerviertel,landersdorfer & innerhofer - restaurant,48.13623678947609,11.56991682844317,German Restaurant
Angerviertel,Soumi,48.135606,11.572195,Vietnamese Restaurant
Angerviertel,Venchi Gelato,48.134563,11.574657,Ice Cream Shop
Angerviertel,Sephora,48.13713387528258,11.574079695011484,Cosmetics Shop
Angerviertel,Wir Machen Cupcakes,48.13382604172554,11.575904442407115,Cupcake Shop
Angerviertel,Sababa,48.13474777433371,11.577250105813546,Falafel Restaurant
Angerviertel,St. Michael,48.13843576216555,11.570351323465532,Church
Angerviertel,ZWICKL Gastlichkeit am Viktualienmarkt,48.135239996292604,11.577249325837808,German Restaurant
Angerviertel,Zum Goldenen Kalb,48.13447561436798,11.575174146799045,Steakhouse
Angerviertel,Fisch Witte,48.13499942195012,11.577124967645538,Fish Market
Angerviertel,Derag Livinghotel Am Viktualienmarkt,48.13421847172378,11.575501470895166,Hotel
Angerviertel,Soda. Bücher und Magazine.,48.13328702311629,11.575602049295162,Bookstore
Angerviertel,The North Face Store,48.13582712112005,11.57165268173644,Clothing Store
Angerviertel,Jüdisches Museum München,48.13443998130511,11.572443757781972,Museum
Angerviertel,Altes Hackerhaus,48.13574681149342,11.571300049317323,German Restaurant
Angerviertel,Zum Spöckmeier,48.13677278279106,11.574078206843117,German Restaurant
Angerviertel,Sankt-Jakobs-Platz,48.13480302288721,11.572453604892003,Plaza
Angerviertel,Kilians,48.13871994658476,11.574555957384717,Irish Pub
Angerviertel,dm-drogerie markt,48.136202,11.5712,Drugstore
Angerviertel,COS,48.13778974270443,11.5749876946682,Boutique
Angerviertel,PomadeShop,48.13416206150253,11.574659199219926,Cosmetics Shop
Angerviertel,Planet Sports Shoes Store,48.13510554670093,11.57137155532837,Shoe Store
Angerviertel,Bricelta,48.13560433343081,11.56868919030998,Portuguese Restaurant
Angerviertel,Le Copain,48.13623867481557,11.571397835408677,Café
Angerviertel,SuperdryStore.,48.136162291702156,11.57247848490715,Clothing Store
Angerviertel,Nigin مطعم افغاني,48.13745123417601,11.569808840177537,Afghan Restaurant
Angerviertel,Café Glockenspiel,48.136999,11.575051,Café
Angerviertel,Der Pschorr,48.13482271913493,11.575121283531189,Bavarian Restaurant
Angerviertel,Nürnberger Bratwurst Glöckl am Dom,48.13819109417412,11.574165237107081,Bavarian Restaurant
Angerviertel,trübenecker,48.134808398710405,11.575952768325806,Market
Angerviertel,Kaut-Bullinger,48.13661596574225,11.573818990810553,Paper / Office Supplies Store
Angerviertel,Bellevue di Monaco,48.133106804513325,11.57425205626267,Community Center
Angerviertel,Café Nymphenburger Sekt,48.13510548139319,11.575325931084226,Café
Angerviertel,Rituals,48.13506354,11.57023942,Cosmetics Shop
Angerviertel,adidas Store,48.136058735727254,11.57160758972168,Sporting Goods Shop
Angerviertel,s.Oliver Store,48.1379865,11.5716589,Clothing Store
Angerviertel,Schenk's frischgepresste Säfte,48.13475278801831,11.576493714924183,Juice Bar
Angerviertel,HOFSTATT,48.13621949452311,11.571490380665516,Shopping Mall
Angerviertel,NORDSEE,48.13526508544485,11.576558561119665,Seafood Restaurant
Angerviertel,Luigino's Feinkost,48.13458446640428,11.576376207123353,Sandwich Place
Angerviertel,Weinhaus Neuner,48.137694048832856,11.568339898611708,German Restaurant
Angerviertel,Parfümerie Douglas,48.13816521388086,11.571178697185287,Perfume Shop
Angerviertel,Favorit Bar,48.136683735593834,11.568643835863009,Bar
Angerviertel,Abercrombie & Fitch,48.136148,11.571879,Clothing Store
Angerviertel,Walter & Benjamin,48.133342347356326,11.575409526583268,Wine Shop
Angerviertel,Alois Dallmayr,48.13855416294957,11.576749895722832,Gourmet Shop
Angerviertel,Glockenspiel,48.13722461191542,11.575356640202333,Monument / Landmark
Angerviertel,Münchner Suppenküche,48.134759509833636,11.576290299514346,Soup Place
Angerviertel,Ringlers,48.134097,11.568302,Sandwich Place
Angerviertel,Mural,48.136627,11.569942,Café
Angerviertel,The Victorian House am Viktualienmarkt,48.13448670640995,11.577548873257847,English Restaurant
Angerviertel,&other stories,48.13620693943372,11.572579574741793,Women's Store
Angerviertel,Sendlinger Straße,48.13559243607647,11.571146249771118,Road
Angerviertel,Pylones,48.134728562259525,11.56916409730911,Gift Shop
Angerviertel,Ratskeller,48.137582782767645,11.576336940296818,Bavarian Restaurant
Angerviertel,Solebox,48.13744388214257,11.57048981199278,Shoe Store
Angerviertel,Der Kleine Flo,48.136377370815815,11.568074962466302,Burger Joint
Angerviertel,Lezizel Manti,48.13246176882227,11.57494885111496,Manti Place
Angerviertel,Kaufingerstraße,48.13765263397313,11.57329684727621,Pedestrian Plaza
Angerviertel,Holz Leute,48.13649694851279,11.576995032109243,Hobby Shop
Angerviertel,Déjà Bu?,48.133000923225836,11.576824084909108,Wine Bar
Angerviertel,illy,48.134347514127626,11.574337043443272,Café
Angerviertel,Bottles & Glashaus,48.13624424627963,11.568345172895668,Arts & Crafts Store
Neuschwabing,Sichuan Küche,48.16189030363828,11.56800348743804,Asian Restaurant
Neuschwabing,Bodeguita,48.1612,11.5698,Tapas Restaurant
Neuschwabing,New Saigon,48.161336,11.568877,Vietnamese Restaurant
Neuschwabing,Schwabinger Wassermann,48.162745134442495,11.572784149719247,Bar
Neuschwabing,Elia,48.16307,11.57162,Greek Restaurant
Neuschwabing,Ö Eins,48.16267817316307,11.573285018917122,Austrian Restaurant
Neuschwabing,El Patio,48.16285245629153,11.571744304679285,Mexican Restaurant
Neuschwabing,Tante Emma,48.16440813177304,11.574183690390782,Bistro
Neuschwabing,Ristorante Nabucco,48.16404389815229,11.56924051541323,Italian Restaurant
Neuschwabing,Biervana,48.1605050477003,11.573896679681138,Beer Store
Neuschwabing,X,48.16363599145947,11.573311689768534,Bar
Neuschwabing,necado KAFFEELADEN,48.16047619551366,11.573227474953038,Coffee Shop
Neuschwabing,Lemar,48.161736586098094,11.574877062743548,Afghan Restaurant
Neuschwabing,DHABA,48.162666,11.57483,Indian Restaurant
Neuschwabing,Arts 'n' Boards,48.16141542659553,11.57479117976864,Restaurant
Neuschwabing,Die Kuchenwerkstatt,48.162918,11.572248,Café
Neuschwabing,Bayernpark,48.16548013959173,11.568097076311393,Park
